product_id,product_name,clean_name,best_store,best_price,highest_price,average_price,savings,stores_available,marketplaces,best_product_link
P0301,Universal 3.5mm Earphone Compatible with All Mobile Phones,universal 3 5mm earphone compatible with all mobile phones,Daraz,200,200,200,0,1,Daraz,https://www.daraz.com.np/products/universal-35mm-earphone-compatible-with-all-mobile-phones-i129342177.html
P0294,Type C Wired Earphone With Mic For All Type C Mobile Phone,type c wired earphone with mic for all type c mobile phone,Daraz,249,249,249,0,1,Daraz,https://www.daraz.com.np/products/type-c-wired-earphone-with-mic-for-all-type-c-mobile-phone-i474068584.html
P0049,"Asta WOLF STRING 2.0 Wired Earphones | 3.5mm Jack, 10mm Driver, High Bass Sound, Tangle-Free Tough Wire (1.2m), In-Line Play/Pause Controller – Durable & Comfortable",asta wolf string 2 0 wired earphones 3 5mm jack 10mm driver high bass sound tangle free tough wire in line play pause controller durable comfortable,Daraz,275,275,275,0,1,Daraz,https://www.daraz.com.np/products/asta-wolf-string-20-wired-earphones-35mm-jack-10mm-driver-high-bass-sound-tangle-free-tough-wire-12m-in-line-playpause-controller-durable-comfortable-i480309241.html
P0107,Gaming Earphone X for PUBG Mobile with Wired Microphone,gaming earphone x for pubg mobile with wired microphone,Daraz,333,333,333,0,1,Daraz,https://www.daraz.com.np/products/gaming-earphone-x-for-pubg-mobile-with-wired-microphone-i127909933.html
P0210,Lightnig In Ear Earphone With Microphone For Ip phone,lightnig in ear earphone with microphone for ip phone,Daraz,335,335,335,0,1,Daraz,https://www.daraz.com.np/products/lightnig-in-ear-earphone-with-microphone-for-ip-phone-i128477662.html
P0066,Brand Quality Earphone With Mic Hi Tech E535 3.5 mm,brand quality earphone with mic hi tech e535 3 5 mm,Daraz,364,364,364,0,1,Daraz,https://www.daraz.com.np/products/brand-quality-earphone-with-mic-hi-tech-e535-35-mm-i115339034.html
P0293,Type C Wired Earphone With Mic,type c wired earphone with mic,Daraz,370,370,370,0,1,Daraz,https://www.daraz.com.np/products/type-c-wired-earphone-with-mic-i128481646.html
P0015,Alewa A11 Gaming Earphone | L+R Synchronized | Super Bass | Braided Strong Wire | Volume Control,alewa a11 gaming earphone l r synchronized super bass braided strong wire volume control,Daraz,499,499,499,0,1,Daraz,https://www.daraz.com.np/products/alewa-a11-new-wired-gaming-earphones-with-super-bass-lr-synchronization-volume-control-and-braided-wire-i124404558.html
P0048,"Asta WOLF STRING 2.0 Type-C Wired Earphones | High Bass Sound, 10mm Driver, Tangle-Free Tough Wire (1.2m), In-Line Play/Pause & Volume Controller – Durable Type-C Jack Earphones",asta wolf string 2 0 type c wired earphones high bass sound 10mm driver tangle free tough wire in line play pause volume controller durable type c jack earphones,Daraz,549,549,549,0,1,Daraz,https://www.daraz.com.np/products/asta-wolf-string-20-type-c-wired-earphones-high-bass-sound-10mm-driver-tangle-free-tough-wire-12m-in-line-playpause-volume-controller-durable-type-c-jack-earphones-i480302508.html
P0260,"T500/X7/S8 Pro Bluetooth Smart Watch For Men And Women With Call,Muxic,FItness Tracker And More",t500 x7 s8 pro bluetooth smart watch for men and women with call muxic fitness tracker and more,Daraz,599,599,599,0,1,Daraz,https://www.daraz.com.np/products/t500x7s8-pro-bluetooth-smart-watch-for-men-and-women-with-callmuxicfitness-tracker-and-more-i129003906.html
P0182,K\u0026F Concept DJI OSMO POCKET 4 Tempered Glass Screen Protector Set,k u0026f concept dji osmo pocket 4 tempered glass screen protector set,Oliz,600,600,600,0,1,Oliz,https://olizstore.com/products/dji-osmo-pocket-4-tempered-glass-screen-protector-set
P0264,T900 ultra smartwatch 49mm original wireless charging smart watch 2.09 inch screen rotating smart dual Buttons Smart watch 2.09 Inch Screen Rotating Dual Bottons Smart watch For Unisex,t900 ultra smartwatch 49mm wireless charging smart watch 2 09 inch screen rotating smart dual buttons smart watch 2 09 inch screen rotating dual bottons smart watch for unisex,Daraz,650,650,650,0,1,Daraz,https://www.daraz.com.np/products/t900-ultra-smartwatch-49mm-original-wireless-charging-smart-watch-209-inch-screen-rotating-smart-dual-buttons-smart-watch-209-inch-screen-rotating-dual-bottons-smart-watch-for-unisex-i477677942.html
P0310,X7/S8 Pro/T500 Bluetooth Smart Watch full touch Heart Rate Blood Pressure Wrist Smartwatch For men women Sport watch,x7 s8 pro t500 bluetooth smart watch full touch heart rate blood pressure wrist smartwatch for men women sport watch,Daraz,659,659,659,0,1,Daraz,https://www.daraz.com.np/products/x7s8-prot500-bluetooth-smart-watch-full-touch-heart-rate-blood-pressure-wrist-smartwatch-for-men-women-sport-watch-i127874841.html
P0262,T800 Ultra Smartwatch Series 81.99 inch Smart Watch,t800 ultra smartwatch series 81 99 inch smart watch,Daraz,660,660,660,0,1,Daraz,https://www.daraz.com.np/products/t800-ultra-smartwatch-series-8199-inch-smart-watch-i323834160.html
P0300,Unisex T800 Smart iWatch Ultra With Wirless Charging And IP67 WaterProof Smart Watch,unisex t800 smart iwatch ultra with wirless charging and ip67 waterproof smart watch,Daraz,660,660,660,0,1,Daraz,https://www.daraz.com.np/products/unisex-t800-smart-iwatch-ultra-with-wirless-charging-and-ip67-waterproof-smart-watch-i125910010.html
P0263,T800 Ultra Smartwatch With Wireless Charging And Smart Watch For Men/Women,t800 ultra smartwatch with wireless charging and smart watch for men women,Daraz,665,665,665,0,1,Daraz,https://www.daraz.com.np/products/t800-ultra-smartwatch-with-wireless-charging-and-smart-watch-for-menwomen-i129448591.html
P0261,"T800 Smart Watch ultra | Bluetooth Calling Smartwatch with Full Touch HD Display | Fitness Tracker with Heart Rate, Blood Pressure, SpO2 & Sleep Monitor | Sports Modes, Notifications, Design, Long Battery Life",t800 smart watch ultra bluetooth calling smartwatch with full touch hd display fitness tracker with heart rate blood pressure spo2 sleep monitor sports modes notifications design long battery life,Daraz,699,699,699,0,1,Daraz,https://www.daraz.com.np/products/t800-smart-watch-ultra-bluetooth-calling-smartwatch-with-full-touch-hd-display-fitness-tracker-with-heart-rate-blood-pressure-spo2-sleep-monitor-sports-modes-notifications-design-long-battery-life-i416764355.html
P0233,Remax Concave Convex Wired Music Earphone RM-510,remax concave convex wired music earphone rm 510,Daraz,780,780,780,0,1,Daraz,https://www.daraz.com.np/products/remax-concave-convex-wired-music-earphone-rm-510-i164923276.html
P0259,T2000 Type C In Ear Wired Earphone With Microphone For Music Gaming,t2000 type c in ear wired earphone with microphone for music gaming,Daraz,799,799,799,0,1,Daraz,https://www.daraz.com.np/products/t2000-type-c-in-ear-wired-earphone-with-microphone-for-music-gaming-i511484557.html
P0308,X-AGE ConvE Acoustic W5 Type C Wired Earphone XWE05,x age conve acoustic w5 type c wired earphone xwe05,Daraz,800,800,800,0,1,Daraz,https://www.daraz.com.np/products/x-age-conve-acoustic-w5-type-c-wired-earphone-xwe05-i127968252.html
P0209,Lighting / type-C Earphones For i-phone With Lighting and type-C Connector,lighting type c earphones for i phone with lighting and type c connector,Daraz,899,899,899,0,1,Daraz,https://www.daraz.com.np/products/lighting-type-c-earphones-for-i-phone-with-lighting-and-type-c-connector-i272448951.html
P0292,Type-C Wired Earphone For I-phone latest Series and also compatible with other type-c devices,type c wired earphone for i phone series and also compatible with other type c devices,Daraz,899,899,899,0,1,Daraz,https://www.daraz.com.np/products/type-c-wired-earphone-for-i-phone-latest-series-and-also-compatible-with-other-type-c-devices-i274322400.html
P0168,K\u0026F Concept DJI Osmo 360 Lens Silicone Protective Case,k u0026f concept dji osmo 360 lens silicone protective case,Oliz,900,900,900,0,1,Oliz,https://olizstore.com/products/kandf-concept-dji-osmo-360-lens-silicone-protective-case
P0255,Original Sound Lightning Earphone For i-phone - Direct Connect /Gaming ( No Need Bluetooth Connection ),sound lightning earphone for i phone direct connect gaming,Daraz,945,945,945,0,1,Daraz,https://www.daraz.com.np/products/original-sound-lightning-earphone-for-i-phone-direct-connect-gaming-no-need-bluetooth-connection-i128601099.html
P0299,"Ultra Smart Watch 7 in 1 BT Calling, Big Display 49MM Sports Mode Fitness 7 Belt for Men & Women Smartwatch (Multicolor Strap, Free Size)",ultra smart watch 7 in 1 bt calling big display 49mm sports mode fitness 7 belt for men women smartwatch,Daraz,999,999,999,0,1,Daraz,https://www.daraz.com.np/products/ultra-smart-watch-7-in-1-bt-calling-big-display-49mm-sports-mode-fitness-7-belt-for-men-women-smartwatch-multicolor-strap-free-size-i131632071.html
P0115,GT1 Smart Watch IPS Pure Round Full Touch Screen Clearence Show,gt1 smart watch ips pure round full touch screen clearence show,Daraz,999,999,999,0,1,Daraz,https://www.daraz.com.np/products/gt1-smart-watch-ips-pure-round-full-touch-screen-clearence-show-i499903363.html
P0189,K\u0026F Concept Silicone Non-Slip Desktop Mount for DJI Osmo Pocket 3,k u0026f concept silicone non slip desktop mount for dji osmo pocket 3,Oliz,1000,1000,1000,0,1,Oliz,https://olizstore.com/products/silicone-non-slip-desktop-mount-for-dji-osmo-pocket-3
P0318,Xiaomi Type-C Earphones | Discover extraordinary sound | Type-C port Plug and play,xiaomi type c earphones discover extraordinary sound type c port plug and play,Daraz,1099,1099,1099,0,1,Daraz,https://www.daraz.com.np/products/xiaomi-type-c-earphones-discover-extraordinary-sound-type-c-port-plug-and-play-i505110506.html
P0302,Vippo+ Keypad Mobile Phone | One Year Warranty | 1000 Mah Battery | Big Torch With Side Switch,vippo keypad mobile phone one year 1000 mah battery big torch with side switch,Daraz,1111,1111,1111,0,1,Daraz,https://www.daraz.com.np/products/vippo-keypad-mobile-phone-one-year-warranty-1000-mah-battery-big-torch-with-side-switch-i135140322.html
P0192,K\u0026F Concept Sports Camera Helmet Chin Mount With 1/4 Turn Adapter Price in Nepal,k u0026f concept sports camera helmet chin mount with 1 4 turn adapter,Oliz,1150,1150,1150,0,1,Oliz,https://olizstore.com/products/kandf-concept-sports-camera-helmet-chin-mount-with-14-turn-adapter-price-in-nepal
P0149,New i20 ULTRA MAX SUIT smart watch multi- function male Bluetooth headset Android,i20 ultra max suit smart watch multi function male bluetooth headset android,Daraz,1249,1249,1249,0,1,Daraz,https://www.daraz.com.np/products/new-i20-ultra-max-suit-smart-watch-multi-function-male-bluetooth-headset-android-i411559585.html
P0148,"I20/H20 Ultra Max Suit Smart Watch & Airpods 10 in 1 in One Box 2.3inch Large Screen Smart Watch with Earbuds / BT Calling Smart Watch with AMOLED Display & Activity, Health Tracker for Men & Women",i20 h20 ultra max suit smart watch airpods 10 in 1 in one box 2 3inch large screen smart watch with earbuds bt calling smart watch with amoled display activity health tracker for men women,Daraz,1349,1349,1349,0,1,Daraz,https://www.daraz.com.np/products/i20h20-ultra-max-suit-smart-watch-airpods-10-in-1-in-one-box-23inch-large-screen-smart-watch-with-earbuds-bt-calling-smart-watch-with-amoled-display-activity-health-tracker-for-men-women-i186897046.html
P0116,H9 2.01 inch big display BT call smart watch smartwatch reloj inteligente h9 Health Sport NEW Smart Watch for Men and Women 2025,h9 2 01 inch big display bt call smart watch smartwatch reloj inteligente h9 health sport smart watch for men and women 2025,Daraz,1548,1548,1548,0,1,Daraz,https://www.daraz.com.np/products/h9-201-inch-big-display-bt-call-smart-watch-smartwatch-reloj-inteligente-h9-health-sport-new-smart-watch-for-men-and-women-2025-i169284335.html
P0199,Kids Calling Smart Watch for Boys & Girls  2-Way Voice Calling & Message  Sim Card  Selfie Camera  Parent Control App  Voice Chat  Long Battery Life  LBS Location Tracking,kids calling smart watch for boys girls 2 way voice calling message sim card selfie camera parent control app voice chat long battery life lbs location tracking,Daraz,1549,1846,1698,297,2,Daraz,https://www.daraz.com.np/products/kids-calling-smart-watch-for-boys-girls-2-way-voice-calling-message-sim-card-selfie-camera-parent-control-app-voice-chat-long-battery-life-lbs-location-tracking-i169146680.html
P0193,K\u0026F Concept Sports Camera Pocket 3 Accessory Kit,k u0026f concept sports camera pocket 3 accessory kit,Oliz,1800,1800,1800,0,1,Oliz,https://olizstore.com/products/kandf-concept-sports-camera-pocket-3-accessory-kit
P0184,K\u0026F Concept Gimbal Cover Camera Lens Protector Cap for DJI Osmo Pocket 3,k u0026f concept gimbal cover camera lens protector cap for dji osmo pocket 3,Oliz,1800,1800,1800,0,1,Oliz,https://olizstore.com/products/kandf-concept-gimbal-cover-camera-lens-protector-cap-for-dji-osmo-pocket-3
P0254,Smart Watch With Heart Rate Blood Oxygen Monitoring 3Atm Waterproof 1.69 Inch Full Touch Screen,smart watch with heart rate blood oxygen monitoring 3atm waterproof 1 69 inch full touch screen,Daraz,1845,1845,1845,0,1,Daraz,https://www.daraz.com.np/products/smart-watch-with-heart-rate-blood-oxygen-monitoring-3atm-waterproof-169-inch-full-touch-screen-i104950345.html
P0230,Plus Smart Watch Full Screen 1.75 Inch With Silicone Band Rotating Crown Make/Answer Calls Fitness Tracker Health Monitor,plus smart watch full screen 1 75 inch with silicone band rotating crown make answer calls fitness tracker health monitor,Daraz,1895,1895,1895,0,1,Daraz,https://www.daraz.com.np/products/plus-smart-watch-full-screen-175-inch-with-silicone-band-rotating-crown-makeanswer-calls-fitness-tracker-health-monitor-i104256041.html
P0188,K\u0026F Concept Pocket 3 Suction Cup Mount,k u0026f concept pocket 3 suction cup mount,Oliz,1900,1900,1900,0,1,Oliz,https://olizstore.com/products/kandf-concept-pocket-3-suction-cup-mount
P0177,K\u0026F Concept DJI OSMO Pocket 3 Black Lanyard Price in Nepal,k u0026f concept dji osmo pocket 3 black lanyard,Oliz,2000,2000,2000,0,1,Oliz,https://olizstore.com/products/kandf-concept-dji-osmo-pocket-3-black-lanyard-price-in-nepal
P0181,K\u0026F Concept DJI OSMO Pocket 4 Protective Case with 4 filter slots Price in Nepal,k u0026f concept dji osmo pocket 4 protective case with 4 filter slots,Oliz,2250,2250,2250,0,1,Oliz,https://olizstore.com/products/kandf-concept-dji-osmo-pocket-4-protective-case-with-4-filter-slots-price-in-nepal
P0033,Aoking Casual Laptop Bag (Unisex) | XN3517,aoking casual laptop bag xn3517,Oliz,2325,2325,2325,0,1,Oliz,https://olizstore.com/products/aoking-casual-laptop-bag-(unisex)-or-xn3517-price-in-nepal
P0194,K\u0026F Concept Sports Camera Wearable Accessory Set,k u0026f concept sports camera wearable accessory set,Oliz,2400,4200,3300,1800,2,Oliz,https://olizstore.com/products/kandf-concept-sports-camera-wearable-accessory-set
P0197,Kick AeroPods 181 Pro ANC,kick aeropods 181 pro anc,Hukut,2499,2499,2499,0,1,Hukut,https://hukut.com/kick-aeropods-181-pro-anc
P0178,K\u0026F Concept DJI Osmo Pocket 3 Cell Phone Holder,k u0026f concept dji osmo pocket 3 cell phone holder,Oliz,2500,2500,2500,0,1,Oliz,https://olizstore.com/products/dji-osmo-pocket-3-cell-phone-holder
P0016,Anker PowerCore 5000 mAh Portable Power Bank,anker powercore 5000 mah portable power bank,Oliz,2500,2500,2500,0,1,Oliz,https://olizstore.com/products/anker-powercore-5000-portable-power-bank
P0298,Ultima Prime 1.0,ultima prime 1 0,Hukut,2699,2699,2699,0,1,Hukut,https://hukut.com/ultima-prime-1.0-price-in-nepal
P0026,Aoking Business Backpack (Unisex) with Laptop Compartment | SN3535-W-6,aoking business backpack with laptop compartment sn3535 w 6,Oliz,2800,6990,4501,4190,5,Oliz,https://olizstore.com/products/aoking-business-backpack-(unisex)-with-laptop-compartment-or-sn3535-w-6
P0024,Aoking  Business Backpack (Unisex) | SN3537-W-6,aoking business backpack sn3537 w 6,Oliz,2800,2800,2800,0,1,Oliz,https://olizstore.com/products/aoking-business-backpack-(unisex)-or-sn3537-w-6-price-in-nepal
P0196,K\u0026F Concept Windshield Mount Clamp,k u0026f concept windshield mount clamp,Oliz,2850,2850,2850,0,1,Oliz,https://olizstore.com/products/kandf-concept-windshield-mount-clamp
P0198,Kick Phantom Watch Ultra,kick phantom watch ultra,Hukut,2999,2999,2999,0,1,Hukut,https://hukut.com/kick-phantom-watch-ultra
P0123,HiFuture FutureMate,hifuture futuremate,Hukut,2999,2999,2999,0,1,Hukut,https://hukut.com/hifuture-futuremate-price-in-nepal
P0257,Soundcore P20i True Wireless Earbuds,soundcore p20i true wireless earbuds,Hukut,2999,2999,2999,0,1,Hukut,https://hukut.com/anker-soundcore-p20i
P0256,Soundcore A20i,soundcore a20i,Hukut,2999,2999,2999,0,1,Hukut,https://hukut.com/anker-soundcore-anker-a20i
P0166,K\u0026F Concept Charging Adapter Base for DJI Osmo Pocket 4/3,k u0026f concept charging adapter base for dji osmo pocket 4 3,Oliz,3000,3000,3000,0,1,Oliz,https://olizstore.com/products/kandf-concept-charging-adapter-base-for-dji-osmo-pocket-43
P0031,Aoking Casual Backpack with Laptop Compartment | H97068,aoking casual backpack with laptop compartment h97068,Oliz,3025,3025,3025,0,1,Oliz,https://olizstore.com/products/aoking-casual-backpack-with-laptop-compartment-or-h97068-price-in-nepal
P0190,K\u0026F Concept Smart Series MS-62 Selfie Stick / Desktop Stand (Medium),k u0026f concept smart series ms 62 selfie stick desktop stand,Oliz,3100,3100,3100,0,1,Oliz,https://olizstore.com/products/smart-series-ms-62-selfie-stick-desktop-stand-(medium)
P0195,K\u0026F Concept Storage Case for DJI Osmo Pocket 3,k u0026f concept storage case for dji osmo pocket 3,Oliz,3200,3200,3200,0,1,Oliz,https://olizstore.com/products/kandf-concept-storage-case-for-dji-osmo-pocket-3
P0030,Aoking Casual Backpack (Unisex) with Laptop Compartment for Everyday Use | SN4327-5,aoking casual backpack with laptop compartment for everyday use sn4327 5,Oliz,3225,3225,3225,0,1,Oliz,https://olizstore.com/products/aoking-casual-backpack-(unisex)-with-laptop-compartment-for-everyday-use-or-sn4327-5
P0027,Aoking  Business Backpack (Unisex) with Laptop Compartment | XN4337,aoking business backpack with laptop compartment xn4337,Oliz,3225,3225,3225,0,1,Oliz,https://olizstore.com/products/aoking-business-backpack-(unisex)-with-laptop-compartment-or-xn4337-price-in-nepal
P0225,Oraimo SpaceBuds Neo+ Earbuds,oraimo spacebuds neo earbuds,Hukut,3399,3399,3399,0,1,Hukut,https://hukut.com/oraimo-spacebuds-neo-plus-earbuds
P0191,K\u0026F Concept Sports Camera Accessory Kit With Adjustable Cord Magnetic Neck,k u0026f concept sports camera accessory kit with adjustable cord magnetic neck,Oliz,3400,3400,3400,0,1,Oliz,https://olizstore.com/products/kandf-concept-sports-camera-accessory-kit-with-adjustable-cord-magnetic-neck-price-in-nepal
P0172,K\u0026F Concept DJI Osmo Action 6 Waterproof Case Kit,k u0026f concept dji osmo action 6 waterproof case kit,Oliz,3450,3450,3450,0,1,Oliz,https://olizstore.com/products/kandf-concept-dji-osmo-action-6-waterproof-case-kit
P0125,HiFuture SonicAir,hifuture sonicair,Hukut,3499,3499,3499,0,1,Hukut,https://hukut.com/hifuture-sonicair
P0186,K\u0026F Concept Nano-Adhesive Vacuum Suction Cup Magnetic Phone Mount,k u0026f concept nano adhesive vacuum suction cup magnetic phone mount,Oliz,3850,3850,3850,0,1,Oliz,https://olizstore.com/products/kandf-nano-adhesive-vacuum-suction-cup-magnetic-phone-mount
P0021,Aoking Bag (Unisex) | Laptop compartment | SN2105-12,aoking bag laptop compartment sn2105 12,Oliz,3925,3925,3925,0,1,Oliz,https://olizstore.com/products/aoking-bag-(unisex)-or-laptop-compartment-or-sn2105-12-price-in-nepal
P0022,Aoking  Business Backpack (Unisex) | Laptop compartment | SN2107-6,aoking business backpack laptop compartment sn2107 6,Oliz,3925,5590,4713,1665,3,Oliz,https://olizstore.com/products/aoking-business-backpack-(unisex)-or-laptop-compartment-or-sn2107-6-price-in-nepal
P0222,OnePlus Nord Buds 3,oneplus nord buds 3,Hukut,3999,3999,3999,0,1,Hukut,https://hukut.com/oneplus-nord-buds-3
P0155,IPRO S 501 Aplus-4G Android Smart Phone,ipro s 501 aplus android smart phone,Daraz,3999,3999,3999,0,1,Daraz,https://www.daraz.com.np/products/ipro-s-501-aplus-4g-android-smart-phone-i127665045.html
P0165,K\u0026F Concept 65cm Gray Neck Mount Kit,k u0026f concept 65cm gray neck mount kit,Oliz,4050,4050,4050,0,1,Oliz,https://olizstore.com/products/kandf-65cm-gray-neck-mount-kit
P0032,Aoking Casual Laptop Bag (Unisex) | XN2686,aoking casual laptop bag xn2686,Oliz,4190,4190,4190,0,2,Oliz,https://olizstore.com/products/aoking-casual-laptop-bag-(unisex)-or-xn2686-price-in-nepal
P0122,HiFuture Flybuds 4,hifuture flybuds 4,Hukut,4199,4199,4199,0,1,Hukut,https://hukut.com/hifuture-flybuds-4
P0114,"Green Vortex Metallic Fitness Smartwatch | 1.43"" Super AMOLED Display | Bluetooth Calling | IP67 Water Resistance | 123 Sports Modes |  Luxury Sporty Design | BLE3.0 + 5.3 BT Version | 380Mah Battery | Low-Power Consumption Mode| 30 Days Stand By Back Up",green vortex metallic fitness smartwatch 1 43 super amoled display bluetooth calling ip67 water resistance 123 sports modes luxury sporty design ble3 0 5 3 bt version 380mah battery low power consumption mode 30 days stand by back up,Daraz,4349,4349,4349,0,1,Daraz,https://www.daraz.com.np/products/green-vortex-metallic-fitness-smartwatch-143-super-amoled-display-bluetooth-calling-ip67-water-resistance-123-sports-modes-luxury-sporty-design-ble30-53-bt-version-380mah-battery-low-power-consumption-mode-30-days-stand-by-back-up-i155489973.html
P0113,"Green Orbit Pro Luxury Smart Watch | 1.43"" AMOLED Display | Metallic Body With Stainless Steel & Leather Strap | 3D Watch Faces  | BT Calling | IP68 Water Resistance | 178 Sports Modes | BT V5.2 | 270mAh Battery | 20 Days Standby | AOD | 1 Year Warranty",green orbit pro luxury smart watch 1 43 amoled display metallic body with stainless steel leather strap 3d watch faces bt calling ip68 water resistance 178 sports modes bt v5 2 270mah battery 20 days standby aod 1 year,Daraz,4399,4399,4399,0,1,Daraz,https://www.daraz.com.np/products/green-orbit-pro-luxury-smart-watch-143-amoled-display-metallic-body-with-stainless-steel-leather-strap-3d-watch-faces-bt-calling-ip68-water-resistance-178-sports-modes-bt-v52-270mah-battery-20-days-standby-aod-1-year-warranty-i164956430.html
P0112,"Green Orbit 2.0 AI Smartwatch  In-Build DA GPT, 1.43"" Super AMOLED Display  IP68 Water Resistance  123+ Sports Modes  BT Calling  Metallic Body With Stainless Steel & Leather  BT V5.3  250mAh Battery  30Days Standby Time  AOD  1 Year Warranty",green orbit 2 0 ai smartwatch in build da gpt 1 43 super amoled display ip68 water resistance 123 sports modes bt calling metallic body with stainless steel leather bt v5 3 250mah battery 30days standby time aod 1 year,Daraz,4399,4399,4399,0,1,Daraz,https://www.daraz.com.np/products/green-orbit-20-ai-smartwatch-in-build-da-gpt-143-super-amoled-display-ip68-water-resistance-123-sports-modes-bt-calling-metallic-body-with-stainless-steel-leather-bt-v53-250mah-battery-30days-standby-time-aod-1-year-warranty-i375899310.html
P0258,Soundcore R50i NC True Wireless Bluetooth Earbuds,soundcore r50i nc true wireless bluetooth earbuds,Hukut,4499,4499,4499,0,1,Hukut,https://hukut.com/anker-soundcore-r50i-nc-price-in-nepal
P0322,Zeblaze Ares 3 Plus Smartwatch,zeblaze ares 3 plus smartwatch,Hukut,4500,4500,4500,0,1,Hukut,https://hukut.com/zeblaze-ares-3-plus-price-in-nepal
P0025,Aoking  Business Backpack (Unisex) | SN4300-8,aoking business backpack sn4300 8,Oliz,4590,4590,4590,0,1,Oliz,https://olizstore.com/products/aoking-business-backpack-(unisex)-or-sn4300-8-price-in-nepal
P0028,Aoking  Business Bag (Unisex) | Laptop compartment | FN77170,aoking business bag laptop compartment fn77170,Oliz,4625,4625,4625,0,1,Oliz,https://olizstore.com/products/aoking-business-bag-(unisex)-laptop-compartment-or-fn77170-price-in-nepal
P0187,K\u0026F Concept Pocket 3 Aluminum Alloy Multi-function Expansion Frame,k u0026f concept pocket 3 aluminum alloy multi function expansion frame,Oliz,4650,4650,4650,0,1,Oliz,https://olizstore.com/products/kandf-pocket-3-aluminum-alloy-multi-function-expansion-frame
