product_name,price,marketplace,search_term,link
"Apple iPhone 17 Pro Max | 6.9"" Super Retina XDR OLED Display | A19 Pro chip | 48MP Pro Fusion camera system | 4K Dolby Vision video recording","Rs. 242,999",Daraz,iphone 16,https://www.daraz.com.np/products/apple-iphone-17-pro-max-69-super-retina-xdr-oled-display-a19-pro-chip-48mp-pro-fusion-camera-system-4k-dolby-vision-video-recording-i495531973.html
"Apple iPhone 17 Pro | 6.3"" Super Retina XDR OLED Display | A19 Pro chip | 48MP Pro Fusion camera system | 4K Dolby Vision video recording","Rs. 236,899",Daraz,iphone 16,https://www.daraz.com.np/products/apple-iphone-17-pro-63-super-retina-xdr-oled-display-a19-pro-chip-48mp-pro-fusion-camera-system-4k-dolby-vision-video-recording-i495561216.html
Apple iPhone 17 | 6.3″ Super Retina XDR Always-On Display | A19 chip | 48MP Dual Fusion camera system,"Rs. 163,499",Daraz,iphone 16,https://www.daraz.com.np/products/apple-iphone-17-63-super-retina-xdr-always-on-display-a19-chip-48mp-dual-fusion-camera-system-i495553306.html
M-Horse 17 Pro Max Luxury Shockproof Matte Case – Premium Protective Back Cover for iPhone 17 Pro Max,"Rs. 17,000",Daraz,iphone 16,https://www.daraz.com.np/products/m-horse-17-pro-max-luxury-shockproof-matte-case-premium-protective-back-cover-for-iphone-17-pro-max-i1519539685.html
Type C Male To 3.5MM Jack Audio Cable Dual Female Adapter DAC 2-in-1 Music Voice Microphone Splitter Cable for iphone 15 16,Rs. 735,Daraz,iphone 16,https://www.daraz.com.np/products/type-c-male-to-35mm-jack-audio-cable-dual-female-adapter-dac-2-in-1-music-voice-microphone-splitter-cable-for-iphone-15-16-i500719766.html
"Amo Store Flame Phone Case for iPhone 11, 11 Pro, 11 Pro Max, 12, 12 Pro, 12 Pro Max, 13, 13 Pro, 13 Pro Max, 14, 14 Pro, 14 Pro Max, 15, 15 Pro, 15 Pro Max, 16, 16 Pro, 16 Pro Max",Rs. 399,Daraz,iphone 16,https://www.daraz.com.np/products/amo-store-flame-phone-case-for-iphone-11-11-pro-11-pro-max-12-12-pro-12-pro-max-13-13-pro-13-pro-max-14-14-pro-14-pro-max-15-15-pro-15-pro-max-16-16-pro-16-pro-max-i299055957.html
"All iphone 17 Series ,17 Air , 17 Pro & 17 Pro Max Liquid Silicone Soft Cover Case | Microfiber Inside - Apple iphone 17, iphone 17 Air , iphone 17 Pro & iphone17 Pro Max - Magsafe",Rs. 375,Daraz,iphone 16,https://www.daraz.com.np/products/all-iphone-17-series-17-air-17-pro-17-pro-max-liquid-silicone-soft-cover-case-microfiber-inside-apple-iphone-17-iphone-17-air-iphone-17-pro-iphone17-pro-max-magsafe-i499655867.html
Sweet Cute Pink White Bowknot Snowflake Fashion Case Compatible For IPhone 11 14 17 16 15 12 13 Pro Max 16 17 14 15 Pro Air 14 15 16 Plus Luxury 2 in 1 Shockproof Bumper Soft Case,Rs. 829,Daraz,iphone 16,https://www.daraz.com.np/products/sweet-cute-pink-white-bowknot-snowflake-fashion-case-compatible-for-iphone-11-14-17-16-15-12-13-pro-max-16-17-14-15-pro-air-14-15-16-plus-luxury-2-in-1-shockproof-bumper-soft-case-i503244122.html
HOCE Slide Camera Protector Holder Magnetic Phone Cases For iPhone 17 16 15 14 13 12 11 Pro Max 14 15 16 Plus MagSafe Case 2 in 1 Shockproof Bumper Ring Folding Bracket Back Cover,"Rs. 1,020",Daraz,iphone 16,https://www.daraz.com.np/products/hoce-slide-camera-protector-holder-magnetic-phone-cases-for-iphone-17-16-15-14-13-12-11-pro-max-14-15-16-plus-magsafe-case-2-in-1-shockproof-bumper-ring-folding-bracket-back-cover-i163619339.html
160W USB Type C Charger Multi Ports Fast Charging Phone Adapter For iPhone 16 Samsung Xiaomi Huawei EU/US/UK Plug Wall Charger,"Rs. 1,306",Daraz,iphone 16,https://www.daraz.com.np/products/160w-usb-type-c-charger-multi-ports-fast-charging-phone-adapter-for-iphone-16-samsung-xiaomi-huawei-euusuk-plug-wall-charger-i492428333.html
